Games Played,Player Hand,Dealer Hand,Win/Loss ($),Count
579,19,19,0,1.13
580,19,21,-10,0.46
581,21,11,15.0,0.234
582,15,19,-10,0.479
583,17,19,-10,0.245
584,14,23,10,0.0
585,21,26,10,2.889
586,21,26,10,2.889
587,13,22,10,-0.536
588,13,17,-10,0.0
589,13,17,-20,0.852
590,15,25,10,0.584
591,19,19,0,0.907
592,18,21,-10,0.934
593,22,19,-10,1.292
594,26,9,-10,1.333
595,16,23,10,2.792
596,24,19,-10,2.528
597,22,20,-10,2.245
598,13,21,-10,3.104
599,17,20,-10,3.25
600,25,20,-10,2.579
601,20,17,10,1.333
602,21,26,10,2.889
603,21,26,10,2.889
604,15,18,-10,2.889
605,17,18,-20,2.889
606,19,21,-10,-0.379
607,14,18,-10,-0.128
608,22,12,-10,-0.13
609,16,26,10,-0.132
610,19,23,10,-0.267
611,20,24,10,0.136
612,21,19,15.0,-0.275
613,22,19,-10,-0.558
614,13,21,-10,-0.424
615,18,20,-10,-0.573
616,23,11,-10,-0.581
617,18,18,0,-0.589
618,20,18,10,-0.598
619,19,19,0,-0.606
620,26,20,-10,-1.077
621,15,20,-10,-0.937
622,14,18,-10,-0.634
623,12,17,-10,-0.483
624,12,21,-10,0.0
625,13,18,-10,0.167
626,18,20,-10,0.517
627,18,20,-20,0.517
628,19,25,10,1.061
629,25,20,-10,0.72
630,14,19,-20,0.915
631,12,23,10,0.932
632,19,24,10,1.529
633,16,25,10,1.564
634,17,17,0,1.8
635,19,26,10,1.427
636,9,21,-10,1.45
637,15,22,10,1.268
638,24,20,-10,0.647
639,20,18,10,1.793
640,18,17,10,2.301
641,22,18,-10,2.118
642,18,21,-10,1.438
643,16,20,-10,1.472
644,17,18,-10,1.0
645,18,23,20,1.03
646,25,20,-10,0.528
647,18,20,-10,0.542
648,17,25,10,0.0
649,17,20,-10,0.0
650,16,21,-10,0.294
651,20,20,0,1.835
652,15,24,10,2.233
653,17,20,-10,1.635
654,20,19,10,1.351
655,18,21,-10,0.347
656,14,21,-10,2.182
657,16,22,10,2.638
658,20,18,10,2.737
659,23,12,-10,3.276
660,21,7,15.0,3.382
661,20,21,-10,3.556
662,23,20,-10,3.25
663,17,26,10,3.434
664,17,23,10,-0.253
665,20,17,10,-0.256
666,17,26,20,-0.13
667,25,16,-10,-0.263
668,20,17,10,-0.665
669,25,19,-10,-0.808
670,20,18,10,-0.955
671,20,21,-10,-1.245
672,15,26,10,-1.402
673,21,19,15.0,-1.842
674,17,17,0,1.187
675,21,17,20,1.187
676,21,10,15.0,-2.045
677,17,20,-10,-2.08
678,16,23,10,-2.261
679,26,19,-10,-2.6
680,25,20,20,-2.647
681,19,23,10,-2.226
682,19,18,10,-1.944
683,15,18,-10,-1.321
684,24,17,-10,-1.178
685,21,18,10,-0.691
686,19,21,-10,-1.226
687,20,18,10,-1.247
688,12,25,10,-0.909
689,17,23,10,-0.557
690,20,17,10,-0.756
691,17,17,0,-0.578
692,21,16,15.0,-0.977
693,17,20,-10,-1.588
694,17,21,-10,-0.816
695,13,25,20,-0.21
696,21,18,20,0.867
697,24,19,-10,0.443
698,18,25,10,0.912
699,17,17,0,1.187
700,21,17,20,1.187
701,16,17,-10,1.187
702,16,17,-10,1.187
703,12,17,-10,1.187
704,19,25,10,0.729
705,17,20,-10,0.498
706,18,17,10,0.254
707,25,17,-10,-0.26
708,20,18,20,-0.267
709,18,23,10,0.275
710,12,21,-10,-0.843
711,20,24,10,-1.444
712,24,20,-10,-2.08
713,16,21,-10,-2.737
714,18,17,10,-2.206
715,15,18,-10,-1.95
716,20,21,-10,-2.684
717,18,17,10,-2.773
718,16,25,10,-2.869
719,17,17,0,-2.6
720,18,22,10,-3.081
721,12,19,-10,-1.219
722,18,18,0,-1.268
723,13,19,-20,0.452
724,19,18,20,0.473
725,20,21,-10,-1.472
726,18,17,10,0.254
727,12,19,-10,0.645
728,18,21,-10,2.889
729,19,21,-10,2.889
730,25,21,-10,2.889
731,20,20,0,1.225
732,13,26,10,1.383
733,20,18,10,0.978
734,17,17,0,0.707
735,21,13,15.0,0.571
736,18,24,10,0.581
737,17,20,-10,0.147
738,20,18,10,-0.149
739,18,20,-10,-0.151
740,17,18,-10,-0.305
741,13,19,-10,-0.155
742,18,20,-20,-0.314
743,22,10,-10,-0.16
744,25,19,-10,-0.486
745,18,20,-10,-0.494
746,18,21,-10,2.889
747,19,21,-10,2.889
748,25,21,-10,2.889
749,14,19,-10,2.889
750,14,19,-10,2.889
751,17,20,-10,0.518
752,21,18,15.0,0.0
753,20,21,-10,-0.71
754,27,19,-10,-1.083
755,16,21,-10,-1.465
756,22,10,-10,-1.305
757,13,21,-10,-1.702
758,15,23,10,-1.733
759,21,17,15.0,-2.346
760,14,24,10,-2.59
761,15,19,-10,-2.438
762,18,20,-10,-1.872
763,20,22,10,-1.705
764,17,18,-10,-2.167
765,13,19,-10,-2.213
766,19,26,10,-2.713
767,20,19,10,-3.004
768,19,20,-10,-3.309
769,21,17,15.0,-3.852
770,14,21,-10,-3.219
771,20,18,10,-2.562
772,16,18,-10,-1.848
773,16,18,-20,-1.089
774,20,20,0,-1.398
775,17,18,-10,-0.578
776,14,21,-10,-0.886
777,19,25,10,-1.52
778,18,21,-10,-2.491
779,19,19,0,-3.19
780,18,24,10,-2.981
781,22,15,-10,-2.411
782,20,20,0,-3.205
783,17,20,-10,-2.6
784,17,18,-10,-1.164
785,15,24,10,-1.612
786,12,23,20,1.289
787,25,18,-10,1.345
788,18,21,-10,2.889
789,19,21,-10,2.889
790,25,21,-10,2.889
791,14,19,-10,2.889
792,14,19,-10,2.889
793,14,22,10,2.889
794,16,22,10,2.889
795,17,22,10,0.127
796,19,18,10,0.257
797,19,18,10,0.26
798,20,17,10,0.263
799,14,17,-10,0.4
800,19,26,20,0.406
801,9,21,-10,0.411
802,26,13,-10,0.416
803,25,19,-10,0.423
804,20,18,10,0.0
805,21,20,15.0,-0.576
806,18,20,-10,-0.147
807,18,18,0,0.0
808,14,26,10,0.0
809,18,23,10,0.0
810,20,22,10,-0.156
811,15,24,10,-0.159
812,27,21,20,-0.324
813,17,21,-10,0.0
814,20,25,20,-0.168
815,14,23,20,0.864
816,21,20,15.0,0.175
817,21,12,15.0,-0.177
818,20,17,10,-0.181
819,19,17,10,0.184
820,12,19,-10,0.565
821,23,19,-10,0.384
822,21,25,10,1.186
823,19,23,10,1.008
824,15,23,10,1.032
825,20,17,10,1.263
826,25,10,-10,1.51
827,15,17,-10,1.983
828,16,21,-10,1.569
829,20,19,10,0.912
830,17,17,0,0.933
831,11,21,-10,0.712
832,18,20,-10,0.486
833,17,20,-10,0.498
834,21,26,20,0.512
835,15,25,20,1.327
836,25,12,-10,1.634
837,17,22,10,1.677
838,21,24,10,1.444
839,22,18,-10,0.891
840,18,20,-10,1.538
841,19,21,-10,1.595
842,23,18,-10,1.316
